#,Module,Feature,Function,Description,Acceptance Criteria,Remark
MVP,,,,,,
22,Quiz Management,Advanced Questions,Add/Update question type: Matching (up to 5 pairs).,"Given a Creator is in the editor, 
When they add a ""Matching"" question, 
Then they can define up to 5 pairs of items and save the question.","- The form must allow creating 2 to 5 pairs. 
- The saved data structure correctly represents the pairs.",Signature Feature
23,,,Add/Update question type: Ordering (up to 6 items).,"Given a Creator is in the editor, 
When they add an ""Ordering"" question, 
Then they can define up to 6 items and set their correct sequence.","- The form must allow creating 3 to 6 items. 
- The drag-and-drop interface for ordering must be intuitive.",Signature Feature
24,,Advanced Questions,Add/Update question type: Video Question (timestamp-based).,"Given a Creator is in the editor, 
When they add a ""Video Question"", 
Then they can upload a video (max 2 minutes) and select a specific timestamp to display the question during playback.","- Video must be max 2 minutes in length. 
- Video must be in supported formats (MP4, WebM). 
- Each video counts as 1 question.",Signature Feature
25,,,Upload video file for Video Question.,"Given a Creator is creating a Video Question, 
When they use the ""Upload Video"" option, 
Then they can select a video file (max 2 minutes) which is associated with that question.","- Supports common video formats (MP4, WebM). 
- Enforces 2-minute maximum duration limit. 
- Shows file size and duration validation.",Signature Feature
26,,,Video preview with timestamp selection.,"Given a Creator has uploaded a video for a Video Question, 
When they open the video editor, 
Then they can preview the video and select a specific timestamp to display the question.","- Video preview player with play/pause controls. 
- Timestamp selector with precise time input. 
- Preview shows exactly when the question will appear.",Signature Feature
27,,Quiz Set Actions,"Add ""Duplicate Quiz Set"" functionality.","Given a Creator is on their dashboard, 
When they select ""Duplicate"" for a quiz, 
Then a new quiz set is created with all the same questions and content.","- The new quiz appears on the dashboard with ""- Copy"" in its title.",High Value
28,Live Game,Host Settings,Add a settings modal before hosting a game.,"Given a Host selects ""Host"" for a quiz, 
When the action is triggered, Then
Then a settings modal is displayed before the lobby is created.",- The modal contains all the specified setting options.,High Value
29,,,"Setting: Choose number of questions to play (e.g., 20 out of 50).","Given a Host is in the settings modal, 
When they enter a number 'N' in the ""Number of Questions"" field, 
Then the game will only use 'N' questions from the set.","- The number 'N' must be valid (e.g., > 0 and <= total questions).",High Value
30,,,Setting: Shuffle question order.,"Given a Host is in the settings modal, 
When they check the ""Shuffle Questions"" box, 
Then the order of questions played will be randomized.",- The order is different each time the game is played with this option.,High Value
31,,,Setting: Enable/disable background music for the session.,"Given a Host is in the settings modal, 
When they toggle the ""Background Music"" switch, 
Then this setting is saved for the session and sent to all players.",- Players' clients correctly receive the setting and play/don't play music.,UX Improvement
32,,,Setting: Enable/disable leaderboard between questions.,"Given a Host is in the settings modal, 
When they toggle the ""Show Leaderboard"" switch, 
Then the leaderboard will be skipped after each question.",- The game flows directly from the question result to the next question.,UX Improvement
33,,,Setting: Enable/disable time-based scoring.,"Given a Host is in the settings modal, 
When they toggle the ""Time-based Scoring"" switch, 
Then all correct answers will receive a fixed score.",- The scoring logic correctly applies a fixed point value for correct answers.,High Value
34,,Lobby Enhancements,Implement a profanity filter for nicknames.,"Given a Player tries to join with a nickname, 
When the server checks it, 
Then it rejects any nickname containing words from a predefined profanity list.",- An appropriate error message is shown to the player.,UX Improvement
35,,,"Host can ""Kick"" a player from the lobby.","Given a Host is in the lobby, 
When they click the ""Kick"" button next to a player's name, 
Then that player is removed from the game session.","- The player is disconnected and sees a ""You have been removed"" message.",UX Improvement
36,,System Robustness,Server-side state management to allow Host/Player to reconnect.,"Given a Host or Player loses connection and then re-opens the game page, 
When the server identifies their session, 
Then it seamlessly reconnects them to the current state of the game.",- The player's score is preserved. - The Host can continue to control the game.,Technical Challenge
37,Challenge Mode,Asynchronous Play,"Generate a unique, shareable link for a quiz set.","Given a Creator is on their dashboard, 
When they select ""Create Challenge"" for a quiz, 
Then a unique, shareable URL is generated and displayed to them.","- A ""Copy Link"" button is provided for convenience.",Signature Feature
38,,,Allow players to play solo anytime via the link.,"Given a Player opens a challenge link, 
When they enter a nickname, 
Then they can play through the quiz questions at their own pace without a live host.",- There is no time limit imposed by a host; each question uses its own predefined time limit.,Signature Feature
39,,,Display a separate leaderboard for each challenge link.,"Given a Player completes a challenge, 
When their final score is calculated, 
Then it is saved and displayed on a persistent leaderboard specific to that challenge link.",- The leaderboard updates correctly for each new participant.,Signature Feature
40,Player Experience,In-game Settings,Player can mute/unmute all sounds on their own screen.,"Given a Player is in a game (live or challenge), 
When they click the sound icon on their screen, 
Then all audio from the game is muted or unmuted only for them.",- The setting persists across all screens within the game session.,UX Improvement
41,Reporting,Post-Game Analysis,Host can view a report of a past game session.,"Given a Creator is logged in, 
When they navigate to the ""Reports"" page, 
Then they can see a list of their past game sessions and select one to view its report.","- The list is sorted by date, with the most recent session on top.",High Value
42,,,"Report includes a full, paginated leaderboard.","Given a Host is viewing a report, 
When the leaderboard is displayed, 
Then it is paginated to handle a large number of players gracefully.",- The leaderboard shows controls to navigate between pages.,High Value
43,,,Report includes a per-question correctness percentage chart.,"Given a Host is viewing a report, 
When they scroll down, 
Then they see a bar chart for each question, visualizing the percentage of players who chose each option.","- The correct answer bar is highlighted (e.g., in green).",High Value
44,,,"Add ""Export to CSV"" functionality for the report.","Given a Host is viewing a report, 
When they click the ""Export to CSV"" button, 
Then a CSV file containing the final leaderboard is downloaded.","- The CSV file is correctly formatted with columns: Rank, Nickname, Score.",High Value
45,User Experience,Onboarding,Welcome tour for new creators.,"Given a new Creator has registered, 
When they first log in, 
Then they see an interactive welcome tour highlighting key features.","- Step-by-step guided tour with tooltips and highlights. 
- Skip option for experienced users.
- Progress indicator showing tour completion.
- Key features: creating quiz, hosting game, viewing reports.",UX Improvement
46,,Navigation,Breadcrumb navigation throughout the application.,"Given a Creator is navigating through the application, 
When they move between different sections, 
Then breadcrumb navigation shows their current location.","- Clear breadcrumb trail with clickable links. 
- Consistent navigation patterns across all pages.
- Mobile-responsive breadcrumb design.",UX Improvement
47,,Accessibility,Keyboard navigation support.,"Given a user wants to navigate using keyboard only, 
When they use Tab and arrow keys, 
Then all interactive elements are accessible via keyboard.","- Full keyboard navigation support. 
- Visible focus indicators.
- Skip links for main content.
- ARIA labels for screen readers.",UX Improvement
48,,Performance,Loading states and skeleton screens.,"Given a user is waiting for content to load, 
When pages or data are loading, 
Then appropriate loading states are displayed.","- Skeleton screens for content areas. 
- Progress indicators for file uploads.
- Smooth transitions between states.
- Error states with retry options.",UX Improvement
